picture,city,ratings,details
https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSvbLGOe83AwlNLa3ybm8B5lnnyPjqPVdwcMqtqni0KxEFLPgYELiabituaEtiVGinPRiJsFlBHLN5yy5yf9OxF7w,Lake View Park,4.5,Wildlife park with boating & more
https://lh5.googleusercontent.com/p/AF1QipPnU9Hp4xhZmTo008S5Rosm00vf4JEUKcSORbYE=w464-h260-n-k-no,Taxila Museum,4.4,Ancient Buddhist artifacts & art museum
https://lh5.googleusercontent.com/p/AF1QipM_7zSH9mlanzJHYmtu5oF3a3tVXKEhqTKGR7Oi=w464-h260-n-k-no,Pakistan Monument Museum,4.7,Petal-shaped site with cultural exhibits
https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSI_WhO5WCtSDJI1pZ6XsRYWksg9HaXeNHNnba6ai82FaRm-8eFiy05jI1LccWaBYKmgcHQ5b0Vkly8paLrPi_mQQ,Pakistan Museum of Natural History,4.5,"Exhibits on ecology, geology & more"
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSRtg_5u35qdELw0wodxxPXmzZYjt0WS-MMGQy7vyp-e7tbiba-1dapzhd854w_W0BVvlYS-_J4JNWA7MYZ00Qdyg,PNCA- Pakistan National Council of Arts,4.6,"Art, art museum, and art exhibition"
https://lh5.googleusercontent.com/p/AF1QipN5Y-XnFxQGXhX1r9IF9XmOr3Sp-YEPM4v77D3E=w464-h260-n-k-no,Saidpur Village Road,4.5,Charming street with lodging & dining
https://lh5.googleusercontent.com/p/AF1QipNaBSEMiFt5KTrG1bySD_Wdxl7RmrAGSxQv6-CF=w464-h260-n-k-no,Trail 5,4.7,Hiking
https://lh5.googleusercontent.com/p/AF1QipMNFvv61eqkdYoeuKWkM_RZXPzD6g71g5vOe8k5=w464-h260-n-k-no,Rose And Jasmine Garden,4.5,Garden and park
https://lh5.googleusercontent.com/p/AF1QipM-Ht0ZQcdd35j1jI1iyalnO4mqQCLCi68bFjfE=w464-h260-n-k-no,Golra Sharif Museum,4.6,Museum
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcTzCX0sj73eSkJG95iAVOiNlN44jVnvhTsJMnfq184ewn6kGv91e0KrQoGXkByQa8xwlSU3acvq9cqgc5tqsCWddA,Dharmarajika Stupa And Monastery,4.4,"Buddhism, ancient history, monastery, archaeological site, and architecture"
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcTV-xtm4-hFwsQFLT27pMCc2hbyLqhmcD8Zcr7wTMsATrXR3-YOQ_LFYLoPFMZ_VlM9_Ivb6chLG9g1kbdUCvtCQg,Shrine Of Hazrat Bari Imam Sarkar,4.7,
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQrm154-2yeB2vHCTuHwEg951qxy1GiWcOYimBpNv1pvTHE2zDfjx-Rk75bWsPZUqYBm3w7urKmB9BRYJRvDm1EFw,Lal Masjid,4.6,Mosque best known for a 2007 siege
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSYUodwPcS_N9GvGZkaMAmNPwdUXzGOCNSHv6iceCuoQQEKfeEJt7xncGwoM3-9pXPEfvbf_nJV1d_8YnQQmBfjfg,Jaulian Buddhist Stupa & Monastery,4.6,"Buddhism, monastery, ancient history, ruins, and archaeological site"
https://lh5.googleusercontent.com/p/AF1QipMlSCTnNKKPnIUK7V0xFCHtkLTlr18KB95u6r0=w464-h260-n-k-no,Khanpur Dam,4.6,Lake
https://lh5.googleusercontent.com/p/AF1QipPwj1VQrkXBlvjSMQQdwakRms8Yn6hh198Y1lon=w464-h260-n-k-no,Simly Dam,,Lake and fishing
https://lh5.googleusercontent.com/p/AF1QipMLw2EAkw6sByiWqgJbt74yncbSvzqOi3dXFBoP=w464-h260-n-k-no,Trail 3,,Hiking
https://lh5.googleusercontent.com/p/AF1QipNkY8e3tcQwmaj0kdwgNOPZTb5a2e9_pIkpnsDS=w464-h260-n-k-no,Trail 6,4.6,Hiking
https://lh5.googleusercontent.com/p/AF1QipOcE9f-9K0ERq-BfI2HScLFyw95cUyYG5ZysZxd=w464-h260-n-k-no,Rawat Fort,4.3,History and architecture
https://lh5.googleusercontent.com/p/AF1QipOOMOJCqF7-m0I3V46__5VRO8I_UW60onQOx8mY=w464-h260-n-k-no,Shah Allah Ditta Caves,4.3,
https://lh5.googleusercontent.com/p/AF1QipPr7tqWgNO0_5ba_StAQeDl8TZ_IGLGkUaIzK6d=w464-h260-n-k-no,Bhamala Stupa,4.5,"Buddhism, archaeological site, history, archaeological excavation, and monastery"
https://lh5.googleusercontent.com/p/AF1QipNFUF0JUlr7bE5wBg69c_-wQ-Qb0vj4X4h5qz-8=w464-h260-n-k-no,Jungle World,4.3,Zoo
https://lh5.googleusercontent.com/p/AF1QipN8wuA99PoG-2gVsS5yir-PqigItIdGKVFpC-XG=w464-h260-n-k-no,Places to Visit in Pakistan,5,
https://lh5.googleusercontent.com/p/AF1QipNwQisgX5spJmbcpj4Krbi9lyfZoSGwpKBow5GE=w464-h260-n-k-no,Chattar Park,3.8,Park
https://lh5.googleusercontent.com/p/AF1QipOgh9AYrQHvJ3ZfS51PTg32GGQ1C3uJtZAq_JW4=w464-h260-n-k-no,Shahdara Valley Restaurant,4.3,
https://lh5.googleusercontent.com/p/AF1QipPND2M7ZB_c2PzP6T2r0FV1uJ0e4p-0UMr-hZlN=w464-h260-n-k-no,Japanese Children Park Islamabad,4.5,Charming park with playgrounds & gardens
https://lh5.googleusercontent.com/p/AF1QipNs5b7GBlp1iVdX1Zbq7iUvilBhSmxtJn36IedC=w464-h260-n-k-no,Allama Iqbal Park,4.2,Park with trees & play equipment
https://www.google.com/maps/vt/bpb=CgwiChAOCgYI0AMQhAISAggAEhQIAjIQCg4KCg0d_REUFVddgis4ARoIEgJlbhoCUEsgACoFLQAAgD8,Pakistan tourism,,
https://lh5.googleusercontent.com/p/AF1QipOcEQqQr4XnIVXjRm5nS3VGuP30AZNcXF48W2fl=w464-h260-n-k-no,Bird Aviary,4.7,Zoo
https://lh5.googleusercontent.com/p/AF1QipNOxl1dUN-NfQbXd6dip_GGwMirUBLW9OK5mtae=w464-h260-n-k-no,Nila Sandh,4.4,Nature
https://lh5.googleusercontent.com/p/AF1QipPpKMsINo1q_N5oM9DHeGquGiGwe4si522R3NES=w464-h260-n-k-no,Bruti,4.5,
https://lh5.googleusercontent.com/p/AF1QipP4aTs3mEz174MyTV3QITt4HdCsNYwnCLIDAV9j=w464-h260-n-k-no,Pharwala,4.3,History and architecture
https://lh5.googleusercontent.com/p/AF1QipP6bXnz98vZZAfA3D6pn7qqqSy7UGhADjk0RhJm=w464-h260-n-k-no,Bruti Waterfall,4.5,
https://lh5.googleusercontent.com/p/AF1QipNnVaUQPh6iaNMIV8Z7O-4o3VhzKoEP-OlxxXZx=w464-h260-n-k-no,Simly Dam Lake,4.2,Lake and nature
https://lh5.googleusercontent.com/p/AF1QipOAyK0XcvB5_D-eKsUgzmUbx7zj9rqSpOJCY96w=w464-h260-n-k-no,Joyland Rawalpindi,4.5,
https://lh5.googleusercontent.com/p/AF1QipNCzPfLwYt2ReQb8uWGe1nW2DrOhY7xTEZ5EJ4J=w464-h260-n-k-no,Kanwal Lake,2.5,Lake
https://lh5.googleusercontent.com/p/AF1QipNy1l9pME3Y3Bd8z_USz1LuB-JYvfq01Jw7sOpm=w464-h260-n-k-no,Mohra Moradu,,"Monastery, buddhism, ancient history, art, and ruins"
https://lh5.googleusercontent.com/p/AF1QipPZHcWIUhZEQPsiVfg8Na3W-JN_lisILn6_SmYt=w464-h260-n-k-no,Lohi Bher Wildlife Park,3.8,Zoo and park
https://lh5.googleusercontent.com/p/AF1QipNsMKk0LkudcZmGqdwKdzFJTbXoKp8K1iecBBB8=w464-h260-n-k-no,Bahria Enclave Zoo,4.5,Zoo
https://lh5.googleusercontent.com/p/AF1QipOVBYqlc-x00y0N-Lal0fjfLbYBF4JxMZX0sgq4=w464-h260-n-k-no,Loh-e-Dandi,4.7,
https://lh5.googleusercontent.com/p/AF1QipMHV56ErYsyoCfszXi-X2bAMTXu-tOwhZvuxIVF=w464-h260-n-k-no,Trail 6 - (Chak Jabbi) - Ridge Trail,4.1,
https://lh5.googleusercontent.com/p/AF1QipN4HC2oMd5EPYQpoBYMDqWl-fIPU_Du1q5WokMX=w464-h260-n-k-no,Kachnar Park,4.6,Park with pathways & lots of greenery
https://lh5.googleusercontent.com/p/AF1QipMHT-MNdQD05ly3XFsntDiyq2Wn5zKdEvhGc8Dl=w464-h260-n-k-no,Neela Sandh Picnic Point,4.1,Nature
https://lh5.googleusercontent.com/p/AF1QipOvZ1OEtPa94Hgdj-EMpb-4pXGHGWz_sFRVfdgN=w464-h260-n-k-no,Rawal Lake Park,,Park
https://lh5.googleusercontent.com/p/AF1QipNaOP0aLBhpOjSoeKUfbBLimfVLjoBPmTPMbGdB=w464-h260-n-k-no,Beyond Adventures,5,
https://lh5.googleusercontent.com/p/AF1QipNO01QqUCrE2mQ7PLSDQ_3NzoZzyGhuUFydUoqX=w464-h260-n-k-no,Saudi Pak Tower Building,,
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcTgMdnyztbFyQKXd7VqR3RVCjL5v5-QowW3zl3B3Kk_i5lVz2t7DzKLQHmddsKvrglo98ACPWT9dex0VKGz7EjOMA,Parliament House,,
https://lh5.googleusercontent.com/p/AF1QipOXrHc8vN0uOKsHahndpLfhLODqF3i3SagyHOjo=w464-h260-n-k-no,Saudi-Pak Towers,,Building known for Islamic architecture
https://lh5.googleusercontent.com/p/AF1QipOJ1VFGWs1qPwTTrtdV5bjbmxwu0D19w3kk0Pc=w464-h260-n-k-no,Spectacular Pakistan,5,
https://lh5.googleusercontent.com/p/AF1QipOwh66VNPSyWcbsFFeSV1qz9dJFKuD0V0LxHpQj=w464-h260-n-k-no,Jandial Temple,4.2,"Temple, buddhism, architecture, and history"
https://lh5.googleusercontent.com/p/AF1QipOG2HHC6jPQK9Kdj6CuAA_L9gfyznW6Vr-YxN0F=w464-h260-n-k-no,Jamia Masjid Gulshan-e-Dadan Khan,4.7,
https://lh5.googleusercontent.com/p/AF1QipOXggX2LjUxz90oFcz9jX2M_USa0zekxC1X_jhp=w464-h260-n-k-no,KIDS & TEENS ENTERTAINMENTS (Family Entertainment Centre),4.4,
https://lh5.googleusercontent.com/p/AF1QipOKhEr4x2gOiAddaEcl4vMQiEoOkzgzvYyCMMOY=w464-h260-n-k-no,Shahdara Point,4.3,
https://lh5.googleusercontent.com/p/AF1QipMxX1nDsN_z8FUGrEvmBTt1B4n7rUqVPERKv_Jb=w464-h260-n-k-no,Daman-e-Koh Park,4.5,Park
https://lh5.googleusercontent.com/p/AF1QipM5iADAivWjdhoP_5pzxdnGPaBQRuhu5I5x_IXG=w464-h260-n-k-no,Nicholson's Monument,4.4,History
https://lh5.googleusercontent.com/p/AF1QipMQ8fye9f56dKFvIDNOtJGa1YFoM_xsKP4gHkDb=w464-h260-n-k-no,Pepsi Jungle Kingdom,4.4,Zoo
https://lh5.googleusercontent.com/p/AF1QipNvKv78lD-387MDqw29kS7xz2Avgzwx2xGIUJ_k=w464-h260-n-k-no,Sustainable Tourism Foundation Pakistan,4.5,
https://lh5.googleusercontent.com/p/AF1QipPHcWUutO1E9aVSL52V7_dXCWt_r4vS9Dc0Wa3y=w464-h260-n-k-no,Masjid Rajgan,4.7,
https://lh5.googleusercontent.com/p/AF1QipPJR1BwqFLTyXb4PvS_cOuXJRJPwgXntVbKgPPZ=w464-h260-n-k-no,Bird Park,4.5,
https://lh5.googleusercontent.com/p/AF1QipNYT4RiAxEVl7H-z-4cUx5HADJBINKQiP6dr2VI=w464-h260-n-k-no,Bahria Town Zoo,3.9,Zoo
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcQq_ShIULD3JexZPoMJ4rYWlUK7F6K2JnZy4fqM7uUVDmyR3If1Zh57oV2yT_bVFDruZMCxy4-DhIIKEk5SM5y7UQ,Aiwan-e-Sadr,,Palace
https://lh5.googleusercontent.com/p/AF1QipPhud5Bo4FRWLb8PYwUB8vnyGrgFSeUDwzfLiz_=w464-h260-n-k-no,M1 TRAXX,4.4,
https://lh5.googleusercontent.com/p/AF1QipNwasFr9CagZsPARQI349_jfcmUunH-SS51Ef3q=w464-h260-n-k-no,Chilla Gah Imam Bari,,
https://lh5.googleusercontent.com/p/AF1QipPRypBSUoCcj4z7XDB2CQnHtHTWzUQXZ45ibB90=w464-h260-n-k-no,Islamabad Museum,4.2,
https://lh5.googleusercontent.com/p/AF1QipOecyKLLiGfh4dFi5mZhxC9dVHFAagB7tGUVNBn=w464-h260-n-k-no,Bhir Mound,4.2,History
https://lh5.googleusercontent.com/p/AF1QipM8SiS312i4bYasrsQqq12Tyq1ukbN95e2BnuIW=w464-h260-n-k-no,Adventure Foundation Inn,4.7,Adventure
https://lh5.googleusercontent.com/p/AF1QipPx3sogKQb0eQHP2X5tEmJsW8Sr7FvZTgCUmBH8=w464-h260-n-k-no,Rawal Dam Park,4.3,Park
https://lh5.googleusercontent.com/p/AF1QipNHRmxyLryU3ACn07mwKj02NOPzmWspCKIrcSnh=w464-h260-n-k-no,Mankiala Stupa,4.5,History
https://lh5.googleusercontent.com/p/AF1QipPWXEQ7RhYAfwarKjNCXCEa1X9RDrCHzlm1t7yr=w464-h260-n-k-no,Dino Park,4.2,Park
https://lh5.googleusercontent.com/p/AF1QipOK-WOx_RTL9wmxFvvvda7Scrm2inS4mtVVUKHF=w464-h260-n-k-no,Dadocha Dam,4,
https://lh5.googleusercontent.com/p/AF1QipMhJ8tNSKOgSosy5Ekpdjtzh9-Gee_HTO1xYMQ=w464-h260-n-k-no,Losar Baoli - Losar Stepwell,4.3,
https://lh5.googleusercontent.com/p/AF1QipOB2_ESbWSod4KikNXWOyVvRp-Mxw7LaOvi-NT4=w464-h260-n-k-no,Trail 5 (Dara Janglan),4.7,Hiking
https://lh5.googleusercontent.com/p/AF1QipPcc-Zz6prWje_IIdAjnH9rocsPGmG8YnFSQqGW=w464-h260-n-k-no,Laila Carnival Park,4,Modest park with rides & a climbing wall
https://lh5.googleusercontent.com/p/AF1QipMLHfYhAucu4S6ma80oo6_Pj6U_zRo81Qk5B_7s=w464-h260-n-k-no,Nukta Studios,4.5,Art
https://www.google.com/maps/vt/bpb=CgwiChAOCgYI0AMQhAISAggAEhQIAjIQCg4KCg1XlQ8UFTRLfis4ARoIEgJlbhoCUEsgACoFLQAAgD8,The Adventure Club Pakistan,4.6,Adventure
https://lh5.googleusercontent.com/p/AF1QipOM1rjWsWp5IqE5LQblwRie3_oFDjvtLVCsE4mI=w464-h260-n-k-no,Arts & Craft Village,,Art
https://lh5.googleusercontent.com/p/AF1QipO_aH2SAmirYV-CZbg84CVXwaNdrs8mNievDRHD=w464-h260-n-k-no,Rawalpindi Arts Council,4.3,Art
https://lh5.googleusercontent.com/p/AF1QipM5t8aRacpBvuRPxdPa9M3itdgU8Oc36GdKQJ9Z=w464-h260-n-k-no,Sunday Market,,Shopping
https://lh5.googleusercontent.com/p/AF1QipPlj9m_JORB4O94o2a_bbzms1_FhpvHkkbdqda1=w464-h260-n-k-no,Wonderland Amusement Park,4.1,Amusement park
https://lh5.googleusercontent.com/p/AF1QipPu9zNGYcKp8Hd6j_dlQsvpcs3_jPgatvXoCK2K=w464-h260-n-k-no,Argentina Park,4.3,
https://lh5.googleusercontent.com/p/AF1QipPsLUsmlFGWC2J7iusrOtBiFigWuI0pV1oJfD4m=w464-h260-n-k-no,Lai Nullah,3,
https://lh5.googleusercontent.com/p/AF1QipNaL3bgniQEHXdsKyBrNLOA-uvoqEmcwmxzk0y3=w464-h260-n-k-no,Islamabad View Point,4.5,
https://lh5.googleusercontent.com/p/AF1QipO7ikzZBbWYEjlHTzeNY8ZT_60DDY16wPhFAFsv=w464-h260-n-k-no,Allama Iqbal Park,4.4,
https://lh5.googleusercontent.com/p/AF1QipPOMF8r7iODA00xHZmKmCoZzHDKz88M-XdE-B78=w464-h260-n-k-no,Sher Shah Park,4.3,Park
https://lh5.googleusercontent.com/p/AF1QipML6mttNsZotzB0WbjBkp7Lqg5sV99w-CP2j0DH=w464-h260-n-k-no,Buddhist Stupa,4.5,
https://lh5.googleusercontent.com/p/AF1QipO5-MJibWM9LTkdf6TtJyXZeNR2VWh9eIUnydje=w464-h260-n-k-no,Sirkap Remains,4.4,
https://lh5.googleusercontent.com/p/AF1QipOtc2HxMAIikUOSYb0XB_atcDG8vDX2lRuxXskU=w464-h260-n-k-no,Valley Amusement Park,4.2,Park
